Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,(LotFrontage+LotArea)*3
1242.0,20.0,RL,83.0,9849.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7.0,6.0,2007.0,2007.0,Hip,CompShg,VinylSd,VinylSd,Stone,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1689.0,1689.0,GasA,Ex,Y,SBrkr,1689.0,0.0,0.0,1689.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,0.0,,Attchd,2007.0,RFn,3.0,954.0,TA,TA,Y,0.0,56.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2007.0,New,Partial,248328.0,29796.0
1233.0,90.0,RL,70.0,9842.0,Pave,,Reg,Lvl,AllPub,FR2,Gtl,mes,Norm,Norm,Duplex,1Story,4.0,5.0,1962.0,1962.0,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1224.0,0.0,0.0,1224.0,0.0,0.0,2.0,0.0,2.0,2.0,TA,6.0,Typ,0.0,,CarPort,1962.0,Unf,2.0,462.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,3.0,2007.0,WD,Normal,101800.0,29736.0
1401.0,50.0,RM,50.0,6000.0,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6.0,7.0,1929.0,1950.0,Gable,CompShg,WdShing,Wd Shng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,862.0,862.0,GasA,TA,Y,SBrkr,950.0,208.0,0.0,1158.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,Typ,1.0,Gd,BuiltIn,1929.0,RFn,1.0,208.0,TA,TA,Y,0.0,0.0,112.0,0.0,0.0,0.0,,,,0.0,7.0,2008.0,WD,Normal,120000.0,18150.0
1377.0,30.0,RL,52.0,6292.0,Pave,,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,6.0,5.0,1930.0,1950.0,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,Gd,TA,Mn,Rec,384.0,Unf,0.0,384.0,768.0,GasA,TA,N,SBrkr,790.0,0.0,0.0,790.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,Typ,0.0,,Detchd,1925.0,Unf,1.0,160.0,Fa,TA,Y,0.0,141.0,0.0,0.0,0.0,0.0,,,,0.0,4.0,2008.0,WD,Normal,91000.0,19032.0
208.0,20.0,RL,,12493.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,mes,Norm,Norm,1Fam,1Story,4.0,5.0,1960.0,1960.0,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,ALQ,419.0,Rec,306.0,375.0,1100.0,GasA,TA,Y,SBrkr,1100.0,0.0,0.0,1100.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,1.0,Po,Attchd,1960.0,RFn,1.0,312.0,TA,TA,Y,355.0,0.0,0.0,0.0,0.0,0.0,,GdWo,,0.0,4.0,2008.0,WD,Normal,141000.0,
1392.0,90.0,RL,65.0,8944.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,mes,Norm,Norm,Duplex,1Story,5.0,5.0,1967.0,1967.0,Gable,CompShg,Plywood,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1584.0,1584.0,GasA,TA,Y,SBrkr,1584.0,0.0,0.0,1584.0,0.0,0.0,2.0,0.0,4.0,2.0,TA,8.0,Mod,0.0,,Detchd,1967.0,Unf,3.0,792.0,TA,TA,Y,0.0,152.0,0.0,0.0,0.0,0.0,,,,0.0,4.0,2009.0,WD,Normal,124000.0,27027.0
980.0,20.0,RL,80.0,8816.0,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5.0,6.0,1963.0,1963.0,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,0.0,470.0,1121.0,GasA,TA,Y,SBrkr,1121.0,0.0,0.0,1121.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,Typ,0.0,,Detchd,1963.0,Unf,2.0,480.0,TA,TA,Y,0.0,80.0,0.0,0.0,0.0,0.0,,MnPrv,,0.0,6.0,2009.0,WD,Normal,139000.0,26688.0
484.0,120.0,RM,32.0,4500.0,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,Twnhs,1Story,6.0,5.0,1998.0,1998.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,116.0,TA,TA,PConc,Ex,TA,No,GLQ,897.0,Unf,0.0,319.0,1216.0,GasA,Ex,Y,SBrkr,1216.0,0.0,0.0,1216.0,1.0,0.0,2.0,0.0,2.0,1.0,TA,5.0,Typ,0.0,,Attchd,1998.0,Unf,2.0,402.0,TA,TA,Y,0.0,125.0,0.0,0.0,0.0,0.0,,,,0.0,5.0,2006.0,WD,Normal,164000.0,13596.0
392.0,60.0,RL,71.0,12209.0,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,2Story,6.0,5.0,2001.0,2002.0,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Ex,TA,No,ALQ,690.0,Unf,0.0,114.0,804.0,GasA,Ex,Y,SBrkr,804.0,1157.0,0.0,1961.0,1.0,0.0,2.0,1.0,3.0,1.0,Gd,7.0,Typ,1.0,TA,BuiltIn,2001.0,Fin,2.0,560.0,TA,TA,Y,125.0,192.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2009.0,WD,Normal,215000.0,36840.0
730.0,30.0,RM,52.0,6240.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,4.0,5.0,1925.0,1950.0,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,BLQ,152.0,Unf,0.0,628.0,780.0,GasA,TA,Y,FuseA,848.0,0.0,360.0,1208.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,Typ,0.0,,Detchd,1962.0,Unf,2.0,539.0,TA,TA,Y,0.0,23.0,112.0,0.0,0.0,0.0,,,,0.0,1.0,2009.0,WD,Normal,103000.0,18876.0
255.0,20.0,RL,70.0,8400.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,mes,Norm,Norm,1Fam,1Story,5.0,6.0,1957.0,1957.0,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,Gd,CBlock,TA,TA,No,Rec,922.0,Unf,0.0,392.0,1314.0,GasA,TA,Y,SBrkr,1314.0,0.0,0.0,1314.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,Typ,0.0,,Attchd,1957.0,RFn,1.0,294.0,TA,TA,Y,250.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2010.0,WD,Normal,145000.0,25410.0
1094.0,20.0,RL,71.0,9230.0,Pave,,Reg,Lvl,AllPub,Corner,Gtl,mes,Feedr,Norm,1Fam,1Story,5.0,8.0,1965.0,1998.0,Hip,CompShg,MetalSd,MetalSd,BrkFace,166.0,TA,TA,CBlock,TA,TA,Mn,GLQ,661.0,Unf,0.0,203.0,864.0,GasA,Gd,Y,SBrkr,1200.0,0.0,0.0,1200.0,1.0,0.0,1.0,1.0,1.0,1.0,Gd,6.0,Typ,0.0,,Detchd,1977.0,Unf,2.0,884.0,TA,TA,Y,0.0,64.0,0.0,0.0,0.0,0.0,,MnPrv,,0.0,10.0,2006.0,WD,Normal,146000.0,27903.0
1021.0,20.0,RL,60.0,7024.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4.0,5.0,2005.0,2005.0,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,GLQ,1024.0,Unf,0.0,108.0,1132.0,GasA,Ex,Y,SBrkr,1132.0,0.0,0.0,1132.0,1.0,0.0,1.0,1.0,2.0,1.0,Gd,5.0,Typ,0.0,,Attchd,2005.0,Fin,2.0,451.0,TA,TA,Y,252.0,64.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2008.0,WD,Normal,176000.0,21252.0
